timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620234798549,395,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466636729&user=1964540572&conf=2,394,0,18
1620234800447,340,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=2,340,0,0
1620234801427,374,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=2,374,0,1
1620234802288,338,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=2,338,0,0
1620234803301,341,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=2,341,0,0
1620234804127,343,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=2,343,0,0
1620234804425,377,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=2,377,0,1
1620234805142,341,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=2,341,0,0
1620234805972,342,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=2,342,0,0
1620234806303,344,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=2,344,0,0
1620234806984,342,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=2,342,0,0
1620234807428,378,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=2,378,0,1
1620234807815,346,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=2,346,0,0
1620234808148,344,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=2,344,0,0
1620234808827,345,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,344,0,0
1620234809307,346,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,346,0,0
1620234809662,347,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,347,0,0
1620234809993,347,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,347,0,0
1620234810424,386,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,386,0,1
1620234810672,351,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,350,0,0
1620234811154,348,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,348,0,0
1620234811512,350,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=2,349,0,0
1620234811840,351,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,351,0,0
1620234812311,352,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,352,0,0
1620234812524,350,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,350,0,0
1620234813003,353,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,353,0,0
1620234813362,353,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,353,0,0
1620234813425,386,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,386,0,0
1620234813692,355,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,355,0,0
1620234814163,354,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,354,0,0
1620234814375,355,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=2,355,0,0
1620234814857,354,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,354,0,0
1620234815216,353,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,353,0,0
1620234815312,356,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,356,0,0
1620234815548,358,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,357,0,0
1620234816018,356,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,356,0,0
1620234816231,356,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,356,0,0
1620234816425,392,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,392,0,1
1620234816712,358,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,358,0,0
1620234817070,362,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,362,0,0
1620234817169,359,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,359,0,0
1620234817406,367,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,7,7,http://localhost:8080/?token=466636729&user=1964540572&conf=2,367,0,0
1620234817875,358,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,358,0,0
1620234818089,360,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,360,0,0
1620234818318,362,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,362,0,0
1620234818571,360,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,360,0,0
1620234818932,362,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,362,0,0
1620234819029,361,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,360,0,0
1620234819274,362,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,362,0,0
1620234819427,395,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,395,0,1
1620234819734,362,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,362,0,0
1620234819949,365,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,365,0,0
1620234820180,369,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,369,0,0
1620234820431,366,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,8,8,http://localhost:8080/?token=466636729&user=1964540572&conf=2,366,0,0
1620234820795,366,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,365,0,0
1620234820890,365,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,365,0,0
1620234821136,366,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,366,0,0
1620234821323,366,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,366,0,0
1620234821597,366,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,366,0,0
1620234821815,363,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,363,0,0
1620234822050,365,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,365,0,0
1620234822298,369,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,369,0,0
1620234822425,401,HTTP Request,200,OK,Thread Group 1-9,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,401,0,0
1620234822661,369,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,369,0,0
1620234822756,370,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,370,0,0
1620234823003,368,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,368,0,0
1620234823190,369,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,369,0,0
1620234823464,369,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,9,9,http://localhost:8080/?token=466636729&user=1964540572&conf=2,369,0,0
1620234823679,371,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,371,0,0
1620234823916,367,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,367,0,0
1620234824168,368,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,368,0,0
1620234824327,368,HTTP Request,200,OK,Thread Group 1-9,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,368,0,0
1620234824531,368,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,368,0,0
1620234824627,370,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,370,0,0
1620234824872,370,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,370,0,0
1620234825060,371,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,371,0,0
1620234825334,369,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,368,0,0
1620234825424,408,HTTP Request,200,OK,Thread Group 1-10,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,407,0,1
1620234825551,373,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,373,0,0
1620234825784,373,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,373,0,0
1620234826037,371,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,370,0,0
1620234826195,374,HTTP Request,200,OK,Thread Group 1-9,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,374,0,0
1620234826400,373,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,373,0,0
1620234826498,372,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,10,10,http://localhost:8080/?token=466636729&user=1964540572&conf=2,372,0,0
1620234826743,371,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,371,0,0
1620234826932,375,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,375,0,0
1620234827203,373,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,373,0,0
1620234827332,373,HTTP Request,200,OK,Thread Group 1-10,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,373,0,0
1620234827425,373,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,373,0,0
1620234827658,375,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,375,0,0
1620234827908,375,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,375,0,0
1620234828069,376,HTTP Request,200,OK,Thread Group 1-9,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,376,0,0
1620234828273,375,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,375,0,0
1620234828370,375,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,375,0,0
1620234828424,409,HTTP Request,200,OK,Thread Group 1-11,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,409,0,1
1620234828615,377,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,377,0,0
1620234828808,379,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,155,11,11,http://localhost:8080/?token=466636729&user=1964540572&conf=2,379,0,0
